model_id,scenario,role,channel,policy,target_fpr,sample_count,positive_count,negative_count,predicted_positive_count,tp,fp,tn,fn,reference_threshold,decision_threshold,precision,recall,f1,fpr,miss_rate,pr_auc,reference_prevalence,metric_valid,unavailable_reason
m3_linear_residual_mlp,random_row,test,any,nominal_threshold,,1790,1161,629,1129,1129,0,629,32,0.6,0.6,1.0,0.9724375538329026,0.9860262008733625,0.0,0.02756244616709733,1.0,0.6486033519553073,True,
m3_linear_residual_mlp,random_row,test,kMc,nominal_threshold,,1790,543,1247,527,527,0,1247,16,0.7,0.7,1.0,0.9705340699815838,0.9850467289719625,0.0,0.029465930018416207,0.9999999999999999,0.30335195530726256,True,
m3_linear_residual_mlp,random_row,test,kMt,nominal_threshold,,1790,545,1245,545,545,0,1245,0,0.7,0.7,1.0,1.0,1.0,0.0,0.0,1.0,0.30446927374301674,True,
m3_linear_residual_mlp,random_row,test,any,nominal_threshold,,1790,909,881,896,896,0,881,13,0.7,0.7,1.0,0.9856985698569857,0.9927977839335179,0.0,0.014301430143014302,0.9999987910879,0.5078212290502794,True,
m3_linear_residual_mlp,random_row,test,kMc,nominal_threshold,,1790,370,1420,357,357,0,1420,13,0.8,0.8,1.0,0.9648648648648649,0.9821182943603851,0.0,0.03513513513513514,0.9999999999999999,0.20670391061452514,True,
m3_linear_residual_mlp,random_row,test,kMt,nominal_threshold,,1790,412,1378,382,382,0,1378,30,0.8,0.8,1.0,0.9271844660194175,0.9622166246851386,0.0,0.07281553398058252,1.0,0.23016759776536314,True,
m3_linear_residual_mlp,random_row,test,any,nominal_threshold,,1790,689,1101,651,651,0,1101,38,0.8,0.8,1.0,0.9448476052249637,0.9716417910447761,0.0,0.055152394775036286,0.9999999999999999,0.38491620111731845,True,
m3_linear_residual_mlp,random_row,test,kMc,nominal_threshold,,1790,198,1592,181,181,0,1592,17,0.9,0.9,1.0,0.9141414141414141,0.9551451187335093,0.0,0.08585858585858586,1.0,0.1106145251396648,True,
m3_linear_residual_mlp,random_row,test,kMt,nominal_threshold,,1790,208,1582,208,208,0,1582,0,0.9,0.9,1.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.11620111731843576,True,
m3_linear_residual_mlp,random_row,test,any,nominal_threshold,,1790,383,1407,369,369,0,1407,14,0.9,0.9,1.0,0.9634464751958225,0.9813829787234043,0.0,0.03655352480417755,1.0,0.21396648044692737,True,
m3_linear_residual_mlp,state_group,test,kMc,nominal_threshold,,1791,873,918,856,856,0,918,17,0.5,0.5,1.0,0.9805269186712485,0.9901677270098322,0.0,0.019473081328751432,0.9999999999999999,0.48743718592964824,True,
m3_linear_residual_mlp,state_group,test,kMt,nominal_threshold,,1791,873,918,872,872,0,918,1,0.5,0.5,1.0,0.9988545246277205,0.9994269340974212,0.0,0.001145475372279496,0.9999986893874457,0.48743718592964824,True,
m3_linear_residual_mlp,state_group,test,any,nominal_threshold,,1791,1377,414,1365,1365,0,414,12,0.5,0.5,1.0,0.9912854030501089,0.9956236323851204,0.0,0.008714596949891068,1.0,0.7688442211055276,True,
